teamid,season,leagueid,player,nickname,player_slug,num,position,height,weight,birth_date,age,exp,school,player_id,how_acquired
1610612738,2023,00,Jayson Tatum,Jayson,jayson-tatum,0,F-G,6-8,210,"MAR 03, 1998",26.0,6,Duke,1628369,#3 Pick in 2017 Draft
1610612738,2023,00,Jrue Holiday,Jrue,jrue-holiday,4,G,6-4,205,"JUN 12, 1990",34.0,14,UCLA,201950,Traded from POR on 10/01/23
1610612738,2023,00,Jaylen Brown,Jaylen,jaylen-brown,7,G-F,6-6,223,"OCT 24, 1996",27.0,7,California,1627759,#3 Pick in 2016 Draft
1610612738,2023,00,Kristaps Porziņģis,Kristaps,kristaps-porziņģis,8,F-C,7-2,240,"AUG 02, 1995",28.0,7,Cajasol Sevilla,204001,Traded from WAS on 06/23/23
1610612738,2023,00,Derrick White,Derrick,derrick-white,9,G,6-4,190,"JUL 02, 1994",29.0,6,Colorado,1628401,Traded from SAS on 02/10/22
1610612738,2023,00,Payton Pritchard,Payton,payton-pritchard,11,G,6-1,195,"JAN 28, 1998",26.0,3,Oregon,1630202,#26 Pick in 2020 Draft
1610612738,2023,00,Oshae Brissett,Oshae,oshae-brissett,12,F-G,6-7,210,"JUN 20, 1998",26.0,4,Syracuse,1629052,
1610612738,2023,00,Drew Peterson,Drew,drew-peterson,13,F,6-9,205,"NOV 09, 1999",24.0,R,Southern California,1641809,Signed on 12/14/23
1610612738,2023,00,JD Davison,JD,jd-davison,20,G,6-1,195,"OCT 03, 2002",21.0,1,Alabama,1631120,#53 Pick in 2022 Draft
1610612738,2023,00,Xavier Tillman,Xavier,xavier-tillman,26,F,6-7,245,"JAN 12, 1999",25.0,3,Michigan State,1630214,Traded from MEM on 02/07/24
1610612738,2023,00,Jordan Walsh,Jordan,jordan-walsh,27,G,6-6,205,"MAR 03, 2004",20.0,R,Arkansas,1641775,Draft Rights Traded from SAC on 06/28/23
1610612738,2023,00,Sam Hauser,Sam,sam-hauser,30,F,6-7,217,"DEC 08, 1997",26.0,2,Virginia,1630573,Signed on 08/13/21
1610612738,2023,00,Luke Kornet,Luke,luke-kornet,40,C-F,7-1,250,"JUL 15, 1995",28.0,6,Vanderbilt,1628436,Signed on 02/11/22
1610612738,2023,00,Al Horford,Al,al-horford,42,C-F,6-9,240,"JUN 03, 1986",38.0,16,Florida,201143,Traded from OKC on 06/18/21
1610612738,2023,00,Jaden Springer,Jaden,jaden-springer,44,G,6-4,202,"SEP 25, 2002",21.0,2,Tennessee,1630531,
1610612738,2023,00,Svi Mykhailiuk,Svi,svi-mykhailiuk,50,G-F,6-7,205,"JUN 10, 1997",27.0,5,Kansas,1629004,
1610612738,2023,00,Neemias Queta,Neemias,neemias-queta,88,C,7-0,248,"JUL 13, 1999",24.0,2,Utah State,1629674,Signed on 09/19/23
